city,date,ride_count,member_count,casual_count
NYC,2024-08-31,204,116,88
NYC,2024-09-01,24769,16902,7867
NYC,2024-09-02,28000,19504,8496
NYC,2024-09-03,32742,26825,5917
NYC,2024-09-04,35570,29381,6189
NYC,2024-09-05,33867,27616,6251
NYC,2024-09-06,34603,27297,7306
NYC,2024-09-07,27951,20814,7137
NYC,2024-09-08,31621,23015,8606
NYC,2024-09-09,32857,27096,5761
NYC,2024-09-10,36544,30172,6372
NYC,2024-09-11,37297,30610,6687
NYC,2024-09-12,37074,30395,6679
NYC,2024-09-13,36827,29029,7798
NYC,2024-09-14,36086,25419,10667
NYC,2024-09-15,32473,23512,8961
NYC,2024-09-16,33277,27488,5789
NYC,2024-09-17,35655,29775,5880
NYC,2024-09-18,36985,30972,6013
NYC,2024-09-19,37944,31189,6755
NYC,2024-09-20,38344,30268,8076
NYC,2024-09-21,36914,26562,10352
NYC,2024-09-22,32004,23438,8566
NYC,2024-09-23,30189,25100,5089
NYC,2024-09-24,34858,28736,6122
NYC,2024-09-25,33761,28063,5698
NYC,2024-09-26,31393,26082,5311
NYC,2024-09-27,35430,28049,7381
NYC,2024-09-28,17645,13747,3898
NYC,2024-09-29,13619,10928,2691
NYC,2024-09-30,32825,27472,5353
Chicago,2024-08-31,353,112,241
Chicago,2024-09-01,28586,12068,16518
Chicago,2024-09-02,25362,11673,13689
Chicago,2024-09-03,25807,16616,9191
Chicago,2024-09-04,27417,18256,9161
Chicago,2024-09-05,25469,16599,8870
Chicago,2024-09-06,24529,14836,9693
Chicago,2024-09-07,25623,13127,12496
Chicago,2024-09-08,23744,12020,11724
Chicago,2024-09-09,24031,15931,8100
Chicago,2024-09-10,27549,18247,9302
Chicago,2024-09-11,28910,18765,10145
Chicago,2024-09-12,28796,18314,10482
Chicago,2024-09-13,27662,16434,11228
Chicago,2024-09-14,30879,14949,15930
Chicago,2024-09-15,26984,13276,13708
Chicago,2024-09-16,24893,16068,8825
Chicago,2024-09-17,28031,18269,9762
Chicago,2024-09-18,28193,18480,9713
Chicago,2024-09-19,29030,18445,10585
Chicago,2024-09-20,28670,16436,12234
Chicago,2024-09-21,31720,15361,16359
Chicago,2024-09-22,9600,5511,4089
Chicago,2024-09-23,21787,14886,6901
Chicago,2024-09-24,14099,10279,3820
Chicago,2024-09-25,27578,18135,9443
Chicago,2024-09-26,28533,18328,10205
Chicago,2024-09-27,24547,14943,9604
Chicago,2024-09-28,21262,11431,9831
Chicago,2024-09-29,21521,11282,10239
Chicago,2024-09-30,23898,15781,8117
Boston,2024-08-31,112,33,79
Boston,2024-09-01,15777,8790,6987
Boston,2024-09-02,16298,9826,6472
Boston,2024-09-03,20269,15015,5254
Boston,2024-09-04,20663,15621,5042
Boston,2024-09-05,19918,15041,4877
Boston,2024-09-06,19946,14086,5860
Boston,2024-09-07,19355,11854,7501
Boston,2024-09-08,17387,10855,6532
Boston,2024-09-09,19534,14922,4612
Boston,2024-09-10,21282,16165,5117
Boston,2024-09-11,21087,16016,5071
Boston,2024-09-12,21391,16152,5239
Boston,2024-09-13,21549,15220,6329
Boston,2024-09-14,20712,12145,8567
Boston,2024-09-15,18972,11336,7636
Boston,2024-09-16,19793,14955,4838
Boston,2024-09-17,21893,16367,5526
Boston,2024-09-18,21393,16287,5106
Boston,2024-09-19,20333,15663,4670
Boston,2024-09-20,17559,13047,4512
Boston,2024-09-21,5669,4006,1663
Boston,2024-09-22,15434,10248,5186
Boston,2024-09-23,17735,14145,3590
Boston,2024-09-24,19521,15384,4137
Boston,2024-09-25,19235,15119,4116
Boston,2024-09-26,14750,11810,2940
Boston,2024-09-27,21627,15066,6561
Boston,2024-09-28,19621,11679,7942
Boston,2024-09-29,16308,10222,6086
Boston,2024-09-30,18765,14646,4119
Capital,2024-08-31,125,66,59
Capital,2024-09-01,18927,10211,8716
Capital,2024-09-02,18879,10682,8197
Capital,2024-09-03,20304,14190,6114
Capital,2024-09-04,21859,15345,6514
Capital,2024-09-05,20790,14444,6346
Capital,2024-09-06,21841,14531,7310
Capital,2024-09-07,22040,13014,9026
Capital,2024-09-08,21008,12350,8658
Capital,2024-09-09,20131,14089,6042
Capital,2024-09-10,23229,16301,6928
Capital,2024-09-11,22878,15877,7001
Capital,2024-09-12,23396,16106,7290
Capital,2024-09-13,23400,15395,8005
Capital,2024-09-14,25190,14155,11035
Capital,2024-09-15,22275,12912,9363
Capital,2024-09-16,20115,14141,5974
Capital,2024-09-17,17401,12880,4521
Capital,2024-09-18,18606,13404,5202
Capital,2024-09-19,23546,16451,7095
Capital,2024-09-20,23923,15496,8427
Capital,2024-09-21,24720,14145,10575
Capital,2024-09-22,20281,12280,8001
Capital,2024-09-23,16865,12341,4524
Capital,2024-09-24,14917,11055,3862
Capital,2024-09-25,17236,12810,4426
Capital,2024-09-26,19931,14105,5826
Capital,2024-09-27,16556,11592,4964
Capital,2024-09-28,24488,14180,10308
Capital,2024-09-29,16857,10615,6242
Capital,2024-09-30,16617,12235,4382
